Cat. Numb.,genus,specificEpithet,Full name,taxonRank,Authorship
UWP:100217,Vriesea,drewii,Vriesea drewii,Species,L.B. Sm.
UWP:100217,Guzmania,lingulata,Guzmania lingulata,Species,(L.) Mez
UWP:100217,Guzmania,coriostachya,Guzmania coriostachya,Species,(Griseb.) Mez
UWP:100218,Vriesea,drewii,Vriesea drewii,Species,L.B. Sm.
UWP:100218,Catopsis,sessiliflora,Catopsis sessiliflora,Species,(Ruiz & Pav.) Mez
UWP:101378,Olyra,latifolia,Olyra latifolia,Species,L.
UWP:101378,Guzmania,coriostachya,Guzmania coriostachya,Species,(Griseb.) Mez
UWP:101717,Guzmania,coriostachya,Guzmania coriostachya,Species,(Griseb.) Mez
UWP:101717,Guzmania,lingulata,Guzmania lingulata,Species,(L.) Mez
UWP:101737,Greigia,stenolepis,Greigia stenolepis,Species,L.B. Sm.
UWP:101737,Racinaea,michelii,Racinaea michelii,Species,(Mez) M.A. Spencer & L.B. Sm.
UWP:102143,Guzmania,fosteriana,Guzmania fosteriana,Species,L.B. Sm.
UWP:102143,Guzmania,lingulata,Guzmania lingulata,Species,(L.) Mez
UWP:102143,Guzmania,coriostachya,Guzmania coriostachya,Species,(Griseb.) Mez
UWP:102144,Guzmania,fosteriana,Guzmania fosteriana,Species,L.B. Sm.
UWP:102144,Guzmania,lingulata,Guzmania lingulata,Species,(L.) Mez
UWP:102233,Catopsis,sessiliflora,Catopsis sessiliflora,Species,(Ruiz & Pav.) Mez
UWP:103108,Guzmania,lingulata,Guzmania lingulata,Species,(L.) Mez
UWP:103108,Guzmania,coriostachya,Guzmania coriostachya,Species,(Griseb.) Mez
UWP:103108,Guzmania,lingulata,Guzmania  lingulata,Species,(L.) Mez
UWP:104139,Guzmania,coriostachya,Guzmania coriostachya,Species,(Griseb.) Mez
UWP:104139,Guzmania,lingulata,Guzmania  lingulata,Species,(L.) Mez
UWP:104139,Guzmania,fosteriana,Guzmania fosteriana,Species,L.B. Sm.
UWP:104512,Racinaea,michelii,Racinaea michelii,Species,(Mez) M.A. Spencer & L.B. Sm.
UWP:105292,Catopsis,sessiliflora,Catopsis sessiliflora,Species,(Ruiz & Pav.) Mez
UWP:105292,Catopsis,nutans,Catopsis nutans,Species,(Sw.) Griseb.
UWP:106768,Guzmania,lingulata,Guzmania  lingulata,Species,(L.) Mez
UWP:106768,Guzmania,fosteriana,Guzmania fosteriana,Species,L.B. Sm.
UWP:107441,Catopsis,nutans,Catopsis nutans,Species,(Sw.) Griseb.
UWP:108120,Guzmania,angustifolia,Guzmania angustifolia,Species,(Baker) Wittm.
