ADP number,Accesion year,ACC_N,Former number,count in lot,Specimen identifier's name,Type,Size (mm),condition,Data,Valves,Superfamily,Family,Subfamily,Genus,Subgenus,Species,Subspecies,Describer,Former identification,Common name,Country,State,City,Area,Site,Year,Month,Day,Collectors name,Value,Comment area,Reference
,,meaning?,,,,meaning?,,,,,,,,,,,,,,,,,,,,,,,,,,to what?
"7,100.00",1998,24,,2,Collector,61,53,Good,Full,2,Mytiloidea,Mytilidae,Lithophaginae,Lithophaga,,nigra,,Oribigny,,Black Date Mussel,USA,Florida,,Bahia Honda Key,,1966,8,,"Doe, Jim",,,
"7,101.00",1942,,,10,Collector,43,16.8,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,columella,,Say,,,USA,District of Columbia,Washington,Zoo park,E entrance,1902,6,13,"Smith, E.G.",,,
"7,103.00",1942,,,18,Collector,43,8.9,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,desidiosa,,Say,,,USA,Maryland,Great Falls,C&O Canal,2nd lock,1902,5,6,"Smith, E.G.",,,
"7,104.00",1942,,,5,Collector,43,13.3,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,desidiosa,,Say,,,USA,District of Columbia,Pierce's Mill,Rock Creek,,1901,5,5,"Smith, E.G.",,,
"7,105.00",1942,,,19,Collector,43,10,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,desidiosa,,Say,,,USA,District of Columbia,Washington,C&O Canal,NW boundary line,1902,5,1,"Smith, E.G.",,,
"7,106.00",1942,,,11,Collector,43,7.2,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,humilis,,Say,,,USA,Maine,Warren,,,1906,11,8,"Dodd, N.W.",,,
"7,107.00",1942,,,25,Collector,43,5.5,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,parva,,Lea,,,USA,District of Columbia,Washington,Arsenal Grounds,on bank of old canal,1902,5,30,"Smith, E.G.",,,
"7,108.00",1942,,,23,Collector,43,5.3,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,humilis,,Say,,,USA,Maryland,Great Falls,C&O Canal,2nd lock,1902,5,6,"Smith, E.G.",,,
"7,109.00",1942,,,13,Collector,43,8,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,humilis,,Say,,,USA,District of Columbia,Washington,C&O Canal,W of Aqueduct Bridge,1902,8,13,"Smith, E.G.",,,
"7,110.00",1942,,,10,Collector,43,6.9,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,modicella,,Say,,,USA,Michigan,,Oakland County,,1903,2,19,"Cooper, Calvin",,,
"7,111.00",1942,,,5,Collector,43,12.1,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,desidiosa,,Say,,,USA,District of Columbia,,Rock Creek,Pierce's Mill,1901,5,5,"Smith, E.G.",,,
"7,112.00",1942,,,2,Collector,42,12.1,Good,Full,1,Limacoidea,Limacidae,,Limax,,maximus,,L.,,Giant European Slug,USA,District of Columbia,Washington,Mt. Pleasant,,1902,6,8,"Smith, E.G.",,,
"7,113.00",1942,,,7,Collector,43,20.1,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,palustria,,Muller,,,USA,Indiana,Connersville,,,1901,8,19,"Potts, E.B.",,,
"7,114.00",1942,,,6,Collector,43,20.1,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,palustria,,Muller,,,USA,Michigan,Greenfield,Wayne County,,1903,2,19,"Cooper, Calvin",,,
"7,115.00",1942,,446,2,"Hobbes, J., 2001",43,47.1,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,stagnalis,,"L., 1758",,Stagnant Pond Snail,USA,Michigan,,,,1912,7,23,"Miller, E.T.",,,
"7,116.00",1942,,,1,"Hobbes, J., 2001",43,42.2,Good,Full,1,Lymnaeoidea,Lymnaeidae,,Lymnaea,,stagnalis,,"L., 1758",,Stagnant Pond Snail,USA,South Dakota,Deuel County,,,1906,4,26,E.E.,,,
"7,117.00",1942,,,6,Collector,43,11.1,Good,Full,1,Viviparoidea,Viviparidae,Campelominae,Lioplax,,subcarinata,,Say,,,USA,West Virginia,Harper's Ferry,,,1900,9,12,"Smith, E.G.",,,
"7,118.00",1942,,,8,Collector,43,11.9,Good,Full,1,Viviparoidea,Viviparidae,Campelominae,Lioplax,,subcarinata,,Say,,,USA,Virginia,,Potomac River,Four Mile Run,1901,6,22,"Smith, E.G.",,,
"7,119.00",1942,,,9,Collector,43,12.9,Good,Full,1,Viviparoidea,Viviparidae,Campelominae,Lioplax,,subcarinata,,Say,,,USA,Virginia,,Fairfax County,Mt. Vernon,1905,5,6,"Smith, E.G.",,,
"7,120.00",1942,,,9,Collector,43,12.9,Good,Full,1,Viviparoidea,Viviparidae,Campelominae,Lioplax,,subcarinata,,Say,,,USA,Maryland,,Piscataway Creek,Creek,1906,5,8,"Smith, E.G.",,,
