etaxonomy_key,irn,SummaryData
1,410794,"Tellina virgata Linnaeus, 1758"
2,644037,"Certhidea anticipata Iredale, 1929"
3,643827,"Terebralia palustric ceramica Link, 1807"
4,643105,"Melanopsis audebardi Prevost"
5,643106,"Melanopsis parreyssi Philippi"
6,636681,"Animalia Pilsbry & Cockerell in Pilsbry, 1905"
7,669130,"Melania integra"
8,207563,"Unio ingallsianus I. Lea, 1866"
9,293208,"Trachycardium consors Sowerby, 1833"
10,197599,"Barbatia domingensis"
11,160353,"Helicina chrysocheila A. Binney, 1851"
12,160366,"Lucidella tantilla Pilsbry, 1902"
13,410954,"Helicina (Oligyra) orbiculata tropica Pfeiffer, 1852"
14,160354,"Helicina clappi Pilsbry, 1909"
15,172776,"Pleuropoma laciniosum delta (Pilsbry & Cooke, 1908)"
16,164658,"Stenotrema sp."
17,642879,"Helicina verecunda Gould"
18,179025,"Trichia hispida concinna (Jeffreys, 1830)"
19,177794,"Cathaica fasciola (Draparnaud, 1801)"
20,177706,"Bradybaena despecta (Gray, 1839)"
21,178788,"Helicella itala (Linnaeus, 1758)"
22,642423,"Cyclophorus philippinarum obtecta Moellendorff"
23,386060,"Macrocallista erycina"
24,585066,"Unio fluviatilis Green, 1827"
25,641996,"Ampullaria fasciata Lamarck"
26,641997,"Ampullaria glauca Linnaeus"
27,153768,"Modiolus demissus Dillwyn"
28,157487,"Mytilus perna Linnaeus, 1758"
29,169772,"Ischadium recurvum (Rafinesque, 1820)"
30,514439,"Oliva sp."
31,636772,"Sphaerium lacustre jayense"
32,643403,"Pecten tricarinata Anton, 1839"
33,643406,"Pecten proteus praeterita Dautzenberg"
34,643409,"Pecten dianae Crandall, 1979"
35,643410,"Pecten maximus jacobeus Linnaeus, 1758"
36,585051,"Margarita (Unio) complanata (Lightfoot, 1786)"
37,194185,"Pleurodonte auricoma var. provisoria Pfeiffer"
38,642417,"Cyclophorus kikaiensis Pilsbry"
39,642193,"Cassis cassidiformis Sowerby"
40,642194,"Cassis nana Tenison-Woods, 1879"
41,530007,"Barbatia foliata (Forsskål, 1775)"
42,642235,"Cerion hongii var. candidas"
43,642236,"Cerion abacoense Pilsbry & Vanatta"
44,642237,"Cerion blandi Pilsbry & Vanatta, 1896"
45,643509,"Polygyra martensiana Pilsbry"
46,642597,"Cypraecassis rufa Linnaeus, 1758"
47,642598,"Cypraecassis testiculus testiculus Linnaeus, 1758"
48,642599,"Cypraecassis tenuis Wood, 1828"
49,642600,"Cypraecassis testiculus senegalica Gmelin, 1791"
50,581884,"Pisidium huachucanum Pilsbry"
51,169554,"Potamilus amphichaenus (Frierson, 1898)"
52,642670,"Elysia tornatilis Linnaeus"
53,642172,"Candidula apicina requieni Moquin-Tandon"
54,151536,"Cochlicella ventrosa (Férussac)"
55,152421,"Helicella elegans (Gmelin, 1791)"
56,152477,"Helicella intersecta (Poiret)"
57,153139,"Hygromia hispida (Linnaeus)"
58,642961,"Hygromia montana Studer"
59,642778,"Galeodea leucodoma"
60,642011,"Anatina plicatella Lamarck"
61,634842,"Viviparus malleatus"
62,642044,"Aperostoma dysoni Pfeiffer"
63,386065,"Macrocallista sp."
64,643002,"Latiaxis pagodus A. Adams, 1852"
65,643003,"Latiaxis mawae Griffith & Pidgeon, 1834"
66,585260,"Unio (Elliptio) crassidens (Lamarck, 1819)"
67,643020,"Liaria turriculata Pfeiffer"
68,643021,"Liaria hochstetteri Pfeiffer"
69,643022,"Liaria egea Gray"
70,643023,"Liaria carinella Pfeiffer"
71,643028,"Lima scabra glacialis Gmelin, 1791"
72,642912,"Helicina rotunda d'Orbigny"
73,642914,"Helicina lueticella fer."
74,642915,"Helicina acutissima Sowerby"
75,642916,"Helicina beryllina Gould"
76,642917,"Helicina barbadensis Pfeiffer"
77,642918,"Helicina agglutinans Sowerby"
78,642919,"Helicina adamsiana Pfeiffer"
79,643649,"Schasicheila bahamensis"
80,644047,"Hellicina marmorata"
81,548897,"Unio pachysoma"
82,642414,"Cyathopoma micron Pilsbry"
83,181144,"Stenotrema blandianum (Pilsbry, 1903)"
84,181148,"Stenotrema depilatum (Pilsbry, 1895)"
85,181155,"Stenotrema magnifumosum (Pilsbry, 1900)"
86,181158,"Stenotrema pilula (Pilsbry, 1900)"
87,181178,"Triodopsis neglecta (Pilsbry, 1899)"
88,643093,"Megalomastoma alutaceum Menke"
89,643094,"Megalomastoma fulva"
90,643095,"Megalomastoma seminudum Poey"
91,646480,"Ashmunella townsendi nogalensis Pilsbry, 1940"
92,164566,"Ashmunella amblya Pilsbry, 1940"
93,164572,"Ashmunella carlsbadensis Pilsbry, 1932"
94,164576,"Ashmunella edithae Pilsbry & Cheatum, 1951"
95,164580,"Ashmunella hebardi Pilsbry & Vanatta, 1923"
96,646356,"Triodopsis tridentata complanata Pilsbry, 1898"
97,207546,"Nephronaias strebeli Pilsbry"
98,157375,"Nephronaias gundlachi Dunker"
99,157385,"Unio mancus eucirrus Bourguignat, 1857"
100,643577,"Pterocyclus anguliferus Souleyet, 1841"
101,585041,"Unio chipolaensis Walker, 1905"
102,644040,"Rimsodaphnella deroyae McLean & Poorman, 1971"
103,194541,"Polygyra sarpii var. chilhoweensis Lea"
104,194543,"Polygyra sayii chilhoweensis Lewis"
105,643257,"Neohelix fuscolabris Pilsbry & Vanatta"
106,199908,"Nodularidia (Unio) douglasiae (Griffith & Pidgeon, 1833)"
107,197589,"Atrina (Pinna) carnea"
108,410685,"Lutraria rynchaena Jonas, 1844"
109,643426,"Phalium zeylanica Lamarck"
110,643427,"Phalium umbilicatum Pease, 1860"
111,643428,"Phalium granulatum undulatum Gmelin, 1791"
112,643429,"Phalium granulatum granulatum Born, 1778"
113,643430,"Phalium glaucum Linnaeus, 1758"
114,643431,"Phalium glabratum angasi Iredale, 1914"
115,643432,"Phalium bandatum bandatum Perry, 1811"
116,643495,"Plecochilus pulicarius Reeve, 1848"
117,178795,"Helicella molinae (Hidalgo, 1883)"
118,178796,"Helicella montserratensis (Hidalgo, 1879)"
119,178797,"Helicella neptuni (Westerlund, 1892)"
120,178799,"Helicella obvia (Menke, 1828)"
121,178801,"Helicella santoana (Debeaux)"
122,178802,"Helicella spirula (Zelebor in Westerlund, 1876)"
123,178803,"Helicella spirula montandoni (Clessin, 1886)"
124,178804,"Helicella stiparum (Rossmässler, 1854)"
125,178805,"Helicella tauchoniana (Bourguignat, 1887)"
126,178839,"Hygromia cinctella (Draparnaud, 1801)"
127,637173,"Sphaerium stamineum"
128,181146,"Stenotrema cohuttense (Clapp, 1914)"
129,181147,"Stenotrema deceptum (Clapp, 1905)"
130,181150,"Stenotrema edvardsi (Bland, 1856)"
131,181152,"Stenotrema fraternum fraternum (Say, 1824)"
132,181153,"Stenotrema hirsutum (Say, 1817)"
133,181156,"Stenotrema maxillatum (Gould, 1848)"
134,642717,"Eutrochatella elongata"
135,195735,"Stenotrema sp. var. globosa Pilsbry"
136,642877,"Helicina uzenensis Pilsbry"
137,643626,"Rapa rapa Linnaeus, 1758"
138,36050,"Unio gracilis Barnes, 1823"
139,42024,"Unio aberti Conrad, 1850"
140,169580,"Quadrula intermedia (Conrad, 1836)"
141,643659,"Semicassis labiatum Perry, 1811"
142,643660,"Semicassis saburon Adanson"
143,643661,"Semicassis granulatum undulatum Gmelin, 1791"
144,643662,"Semicassis granulatum granulatum Born, 1778"
145,643663,"Semicassis granulatum centiquadratum Valenciennes, 1832"
146,643664,"Semicassis granulatum centiquadrata Valenciennes, 1832"
147,643665,"Semicassis craticulatum Euthyme, 1885"
148,643078,"Mactrellona alata Spengler, 1802"
149,196377,"Triodopsis tridentata juxtidens Pilsbry"
150,194589,"Polygyra tridentata tenneseensis Walker & Pilsbry, 1902"
151,154712,"Polygyra texasiana texasensis, Pilsbry, 1902"
152,154709,"Polygyra texasiana hyperolia, Pilsbry & Ferriss, 1906"
153,643686,"Sphincterochila (Albea) candidissima sardoa von Maltzan"
154,643704,"Strigilecula cana Held"
155,169553,"Potamilus alatus (Say, 1817)"
156,169612,"Tritogonia verrucosa (Rafinesque, 1820)"
157,634316,"Potamilus laevissima"
158,152619,"Helicella sphaerita (Hartmann)"
159,152620,"Helicella splakiota (Maltzan)"
160,152622,"Helicella subapicina (Mousson)"
161,152623,"Helicella subinvesta (Mabille)"
162,152624,"Helicella sublallmentiana (Pallary)"
163,152625,"Helicella submaritima (Des Moulins)"
164,152626,"Helicella submeridionalis (Bourguignat)"
165,152627,"Helicella subneglecta (Bourguignat)"
166,152628,"Helicella subprofuga (Stabile)"
167,152629,"Helicella subrostrata (Férussac)"
168,152631,"Helicella subvariegata (Maltzan)"
169,152638,"Helicella taeniata (Westerlund)"
170,152639,"Helicella tanousi (Westerlund)"
171,294515,"Tridacna gigas (Linnaeus, 1758)"
172,643941,"Turritella carinifera Lamarck, 1822"
173,643071,"Mactra aspera Sowerby"
174,293953,"Hemicardium cardissa"
175,646925,"Eupera singleyi Pilsbry"
176,199856,"Nephronaias rowelli"
177,199857,"Nephronaias scammnatus"
178,169569,"Pyganodon grandis (Say, 1829)"
179,643067,"Macoma aurora Hanley"
180,152116,"Geomitra arcinella (Lowe)"
181,152120,"Geomitra bowdichiana (Sowerby)"
182,643942,"Turritella capensis Krauss, 1848"
183,414869,"Peristernia sulcata luchuana Pilsbry, 1901"
184,642436,"Cyclophorus acutimarginatus Pfeiffer"
185,294364,"Hemicardium hemicardium Linnaeus"
186,585277,"Elliptio niger danielsi (Wright, B.H., 1899)"
187,583660,"Goniobasis ampla"
188,585258,"Margarita (Unio) crassidens (Lamarck, 1819)"
189,589716,"Anculosa vittata"
190,182580,"Conasprella comatosa (Pilsbry)"
191,152524,"Helicella mortilleti (Pallary)"
192,152525,"Helicella muggianica (Stossich)"
193,152528,"Helicella murcica penchinati (Bourguignat)"
194,152529,"Helicella neglecta (Draparnaud)"
195,152530,"Helicella neglecta neglecta (Draparnaud)"
196,152531,"Helicella newka (Dohrn)"
197,152532,"Helicella nisiana (Westerlund)"
198,152533,"Helicella nokourensis Pallary"
199,152534,"Helicella numidica (Moquin-Tandon)"
